"tract","Name","Incarceration_Rate_rP_gP_pall"
24033804300,"Hyattsville, MD",0.0346
11001007707,"Benning Ridge, Washington, DC",0.0343
11001007403,"Shipley, Washington, DC",0.0342
24033803803,"Riverdale, Woodlawn, MD",0.0339
24033802001,"Suitland, Suitland-Silver Hill, MD",0.0331
11001009807,"Bellevue, Washington, DC",0.0331
24033805201,"Hyattsville, MD",0.0329
24033803525,"Hyattsville, MD",0.0328
24033804600,"Brentwood, MD",0.0327
24033802803,"Capitol Heights, MD",0.0325
24033802600,"Capitol Heights, MD",0.0324
51013103800,"Long Branch Creek, Arlington, VA",0.0324
51013100800,"High View Park, Arlington, VA",0.0321
24033801405,"Oxon Hill, MD",0.032
24033803001,"Capitol Heights, MD",0.0319
51510201600,"Old Town West, Alexandria, VA",0.0318
24031701900,"Takoma Park, MD",0.0316
24033802107,"District Heights, MD",0.0315
24033801805,"Temple Hills, MD",0.0313
24033803700,"Hyattsville, MD",0.0313
11001001803,"Brightwood, Washington, DC",0.0312
11001010600,"Near Northeast, Washington, DC",0.0309
11001003800,"Northwest Washington, Washington, DC",0.0308
11001003700,"Northwest Washington, Washington, DC",0.0308
24033801904,"Suitland, Camp Springs, MD",0.03
24033801804,"Temple Hills, MD",0.0299
11001009505,"Northeast Washington, Washington, DC",0.0298
51510200105,"Alexandria West, Alexandria, VA",0.0295
11001009508,"Northeast Washington, Washington, DC",0.0294
11001007808,"Grant Park, Washington, DC",0.029
24033802404,"District Heights, MD",0.0284
24033802804,"Capitol Heights, MD",0.0284
11001009503,"Northeast Washington, Washington, DC",0.0284
11001007807,"Northeast Washington, Washington, DC",0.028
24033803900,"Hyattsville, MD",0.0275
11001011000,"Southwest Washington, Washington, DC",0.0273
11001008904,"Carver / Langston, Washington, DC",0.0271
24033801211,"Clinton, MD",0.027
11001007603,"Southeast Washington, Washington, DC",0.0269
11001009504,"Michigan Park, Washington, DC",0.0269
11001001902,"Manor Park, Washington, DC",0.0266
24033801409,"Fort Washington, MD",0.0266
11001007604,"Southeast Washington, Washington, DC",0.0264
11001001804,"Brightwood, Washington, DC",0.0262
24033802502,"Capitol Heights, MD",0.0261
11001002900,"Northwest Washington, Washington, DC",0.026
24033802203,"Forestville, MD",0.0253
11001007809,"Northeast Washington, Washington, DC",0.025
51510201203,"Potomac West, Alexandria, VA",0.0248
11001009601,"Kenilworth, Washington, DC",0.0248
24033801906,"Morningside, MD",0.0248
24033801905,"Suitland, Camp Springs, MD",0.0247
24033806711,"Greenbelt, MD",0.0244
51013103200,"Columbia Heights, Arlington, VA",0.0244
11001009301,"Northeast Washington, Washington, DC",0.0242
24033803522,"Bowie, MD",0.0242
11001010300,"Northwest Washington, Washington, DC",0.024
24033804801,"Mount Rainier, MD",0.024
24033802103,"District Heights, MD",0.0239
11001001901,"Brightwood, Washington, DC",0.0238
11001005002,"Downtown, Washington, DC",0.0237
24033805909,"Hyattsville, MD",0.0236
